question,ans1,ans2,ans3
uhh for an MST it's n-1 edges?,@Ericgyc it was for this problem,"i just noticed I have no clue what's on mt3, time to study",or sleep first
"are we gonna have to do calculations like how many nodes/keys in a BTree or what the order is, etc.?",or just know the properties/structure of it,ik only the properties/structure is listed on exam 3 site but im just wondering,isn't btree mt2?
isn't btree mt2?,naw it's listed on exam 3,I mean stuff from mt2 will be on mt3,i think so yea
is there anything specific that confuses you?,will the exam also be only one attempt per question?,"there's that stupid problem where the inputs to a function are either *x, *y or &x,&y",btw anybpdy know how to explain the answer to the problem i posted?
will the exam also be only one attempt per question?,"there's that stupid problem where the inputs to a function are either *x, *y or &x,&y",btw anybpdy know how to explain the answer to the problem i posted?,is it the one you just mentioend
btw anybpdy know how to explain the answer to the problem i posted?,is it the one you just mentioend,mentioned,or a different one
"for unionize(a,b) does b point to a?",im not sure im not there yet im doing hashing rn,oh ok,sorry 😦
what about if they are not the same size?,Do we also need to know the difference in the runtime when we use a different type of priority queue?(heap / sorted array),The smaller size one should point to the bigger size one!,does anyone know what counts as a discovery edge
Do we also need to know the difference in the runtime when we use a different type of priority queue?(heap / sorted array),The smaller size one should point to the bigger size one!,does anyone know what counts as a discovery edge,?
?,i think its an edge to a node that wasnt visited yet @Yumple,anybody know why E is -6 instead of -5?,so after the traversal it is also never visited?
anybody know why E is -6 instead of -5?,so after the traversal it is also never visited?,you mean if you traverse a discovery edge to go to a new node? if u do that it becomes visited,"this tree is invalid, but why?"
so after the traversal it is also never visited?,you mean if you traverse a discovery edge to go to a new node? if u do that it becomes visited,"this tree is invalid, but why?",wait a minute
you mean if you traverse a discovery edge to go to a new node? if u do that it becomes visited,"this tree is invalid, but why?",wait a minute,I'm stupid
"this tree is invalid, but why?",wait a minute,I'm stupid,I just counted the arrows
"im getting kinda confused by all the properties of a btree, was this wrong because the root can only have max m - 1 keys?",And because a node always has one more child than keys.,ah yes,tysm
so then D gets updated to point to its root of I?,I think?,or does path compression not happen there,wait I'm dumb
I think?,or does path compression not happen there,wait I'm dumb,nvm
what would be our runtime if we made A hash table using probing with capacity of the same number X?,not good.,find would on average have to look through like half the array I think,so O(n)?
so O(n)?,what,"this data structure scares me
also why do we need a boolean at all? just check if the key is in our dict",can someone explain this
"this data structure scares me
also why do we need a boolean at all? just check if the key is in our dict",can someone explain this,shouldnt you be removing value not key?,The entry is the value
shouldnt you be removing value not key?,The entry is the value,for these questions do we just follow the order that they give in the table for DFS,"im kinda confused what that table means; say we start at 0, by what order is listed we go to 1, then at 1, the order has 0 but we visited so we go to 6?"
"im kinda confused what that table means; say we start at 0, by what order is listed we go to 1, then at 1, the order has 0 but we visited so we go to 6?",what are the answer choices?,i think i figured it out ty though 🙂,however i am confused on this one idrk a quick way to do these
what are the answer choices?,i think i figured it out ty though 🙂,however i am confused on this one idrk a quick way to do these,"@Hanforallckskyslikcaprifest @Valentino The orders in the adjacency list is just a way to define what other vertices are connected to said vertex. So for vertex 1, vertices 0 and 6 and 5 and 3 are connected to it. I think the ""left-to-right"" terms is just telling what order the programmer chose to add to the graph; it's basically arbitrary. Hope that makes sense?"
"@Hanforallckskyslikcaprifest @Valentino The orders in the adjacency list is just a way to define what other vertices are connected to said vertex. So for vertex 1, vertices 0 and 6 and 5 and 3 are connected to it. I think the ""left-to-right"" terms is just telling what order the programmer chose to add to the graph; it's basically arbitrary. Hope that makes sense?",is the answer C?,no it was only 2,"figuring out that (i) and (iii) are true for that hash function is relatively straightforward. Deterministic means that if you take the same input (k in this example) and run it through the hash function multiple times, everytime that specific input will hash to the same value, so (i) is true. Since its just pretty simply math, its easy enough to figure out. Similarly, since the hash function just does a few constant operations, (iii) will be true too."
is the answer C?,no it was only 2,"figuring out that (i) and (iii) are true for that hash function is relatively straightforward. Deterministic means that if you take the same input (k in this example) and run it through the hash function multiple times, everytime that specific input will hash to the same value, so (i) is true. Since its just pretty simply math, its easy enough to figure out. Similarly, since the hash function just does a few constant operations, (iii) will be true too.",could u explain what uniform distribution is? i watched videos/lectures but am only kind of getting it
could u explain what uniform distribution is? i watched videos/lectures but am only kind of getting it,this all makes more sense though tysm,I'm pretty sure option 2 is saying that it distributes all the values in the original array at least relatively equally across the hash table.,I'm pretty sure the hash function/equation they listed violated (ii) because of the 2k^2 + 2k. You can kind of deduce that the resulting values aren't going to be evenly distributed from 0-9 at all.
"and since like half (?) of these indices are going to be left out, it doesn't distribute the keys very uniformly across the entire array.",I hope that's the explanation?,okay that makes more sense,yes thank you guys so much
I hope that's the explanation?,okay that makes more sense,yes thank you guys so much,i think i just need to practice more
"So like an example of (i) would be 42 and 42: they're identical entries, but it's also saying, somehow, that their keys are different???",Like that would just be absurd.,I thought that is a possible scenario? Because what if we had a function who happened to map two different keys to 42?,This case is only enumerated by answer choice three
I thought that is a possible scenario? Because what if we had a function who happened to map two different keys to 42?,This case is only enumerated by answer choice three,"Like if the function is f(x) = x % 10, then both f(17) and f(27) = 7. So wouldnt these be identical entires except for the key which is a collision?","Think about the wording of your example, two keys are mapped to the same index"
"Like if the function is f(x) = x % 10, then both f(17) and f(27) = 7. So wouldnt these be identical entires except for the key which is a collision?","Think about the wording of your example, two keys are mapped to the same index","They are two distinct keys but being mapped to same value by function, so that would be a collision?","The key is 17/27, the hash fxn is f(x) = x % 10, and the returned index is 7"
"They are two distinct keys but being mapped to same value by function, so that would be a collision?","The key is 17/27, the hash fxn is f(x) = x % 10, and the returned index is 7",Yes,17 and 27 are technically different entries
why is (i) also true?,sometimes the only way to learn how a pointer works is to get it wrong on an exam 3 times in a row 😔,just not sure how to prove it,I think i may be misunderstanding the concept. I thought in this context 17 and 27 are different keys with same output in function. Which satisifes the definition of i of having everything identical(value produced by hash funcrion) except the key
unless you have to account for there being multiple copies of any given book?,But how can we confirm they are adjacent? Because it only says they are simultaneously on queue,I think it would actually take up less space since you're concatenating book + patron instead of doing the two separately; killing two birds with one stone (for the key).,(for the book patron dictionary one): but idk I don't like that question. I feel like the other answer choices would also work technically tbh.
But how can we confirm they are adjacent? Because it only says they are simultaneously on queue,I think it would actually take up less space since you're concatenating book + patron instead of doing the two separately; killing two birds with one stone (for the key).,(for the book patron dictionary one): but idk I don't like that question. I feel like the other answer choices would also work technically tbh.,"but if we have 3 books, like
Lord of the Rings
Harry Potter 1
Enders Game

and two patrons, let's say you and me

then our map would look like this:

Lord of the RingsJohn -> false
Harry Potter 1John -> false
Enders GameJohn -> false
Lord of the RingsMaaheen -> false
Harry Potter 1Maaheen -> false
Enders GameMaaheen -> false

as opposed to

Lord of the Rings -> none
Harry Potter 1 -> none
Enders Game -> none"
yall still don't have the link?,Yes same pls help,nope,thank u 🙂
did 9 am get the link yet?,not yet,Nooo whyy 🥲,ok same
should we contact the staff?,i contacted a ta,"any luck so far, guys?","Prof, what's the plan?"
"any luck so far, guys?","Prof, what's the plan?",I am trying to find out what is happening.,links there
"Prof, what's the plan?",I am trying to find out what is happening.,links there,am I correct in remembering the AVL tree is the only one of these with all the functions better than O(n)?
am I correct in remembering the AVL tree is the only one of these with all the functions better than O(n)?,I already got this as the right answer I'm just wondering if it's specifically the AVL tree that has them all better,also what's special about the hash table capacity of 4500?,"Yes, a stack and queue require you to remove every element at worst to find an element"
also what's special about the hash table capacity of 4500?,"Yes, a stack and queue require you to remove every element at worst to find an element",A binary search tree has no promises about its height so it could essentially just be a fancy linked list,A linked list at worst would also require an O(n) find
"Just confirming, edge(a,b) is same as saying edge(b,a)?","For undirected graphs, yes","Okay, thank you",are there gonna be 25 questions as well on the test with all only 1 attempt?
are there gonna be 25 questions as well on the test with all only 1 attempt?,"iirc 15 questions, two attempts each",So basically like all your past midterms,oh ok cool thanks
"is 1 invalid because the root should have 5 children, and is 2 invalid because ""I"" is out of order?","1 is invalid because at most a tree of order n can have n - 1 keys in any node, but the root has n (4 in this case) keys
and yeah you're right about 2",What if it’s a directed graph? Does a point to b or vice versa?,does the identifier have to be unique?
What if it’s a directed graph? Does a point to b or vice versa?,does the identifier have to be unique?,"(a,b) would typically mean edge going from a to b",b and c seem like they ignore the order of the names in the original set so they look fine
does the identifier have to be unique?,"(a,b) would typically mean edge going from a to b",b and c seem like they ignore the order of the names in the original set so they look fine,I'm confused why none are correct
why would linear probing not work?,"uh
there are only 26 possible hashes",you will get a big clump near the first 26 entries,and the rest of your hash table will be empty
but wouldnt it trickle down for empty space?,as duplicates occur?,what would be a valid key function for this scenario?,sort the names and then concatenate the whole names
as duplicates occur?,what would be a valid key function for this scenario?,sort the names and then concatenate the whole names,that's unique for an unordered set of names I think
what would be a valid key function for this scenario?,sort the names and then concatenate the whole names,that's unique for an unordered set of names I think,wait so when you say sort
im assuming the latter?,billy-bob-brownie-venkat,so yeah the latter,"and then concatenate, and that becomes one key?"
"and then concatenate, and that becomes one key?",oh cuz its  a set of students to a study group,not just one,okay yeah
Don't understand questions like this in general. What if the data were multiples of 5s or 10s? Its obviously not a great hash function then,Do these questions not rely on an understanding of the data?,"if someone knows your hash function, then unless it's cryptographic they can troll you by generating things with the same hash",I think we're assuming the user is not purposefully trying to annoy you so the integers are randomly distributed
Do these questions not rely on an understanding of the data?,"if someone knows your hash function, then unless it's cryptographic they can troll you by generating things with the same hash",I think we're assuming the user is not purposefully trying to annoy you so the integers are randomly distributed,ya i dont really get this question as well
Was there a closed form somewhere for how to make these calculations? What should our reasoning be?,"^Also fyi both the answers I have selected here were incorrect. the correct answers were 2n + 1 and 4n + 3, respectively",for the second one,the number of discovery edges will always be n - 1
did we learn about the array representation for doing union by rank?,I am not sure how that works,hmmmmm ya i think so but all the questions i got were by size,We did you store -(height +1)
oh no we didnt we learnt only by height and by size right?,rank is height,oh height,is rank
maybe because its only hasing 7 unknown values not too sure>?,"basically you check if h1 is open, if not add h2 and see if that is open, and if not keep adding h2 % size until you find one that is open","but like
it isn't an even distribution T_T
I get that it's close enough that it really does not matter",why is the answer c?
why is the answer c?,they change q to point to the address of r,what exactly does it mean for a hash function to be deterministic?,no random number generation
what exactly does it mean for a hash function to be deterministic?,no random number generation,I think,"oh, ok"
what does *q = 6 do then?,that is changing the value of r to 6,"can anyone explain these 2, i got them right but idk how path compresssion plays a role in the first question  vs the second question",i can show the drawings of each of these 2 as well if someone can explain
ya so union in these questions does find as well?,All union operations do find,"so if they ask ""what's q?"" it's asking for an address, if the question asks ""what's *q?"" it asks for a value",can we assume that we can determine the index for the letter in constant time?
"so if they ask ""what's q?"" it's asking for an address, if the question asks ""what's *q?"" it asks for a value",can we assume that we can determine the index for the letter in constant time?,crap idk what a union is,"Bc they need to locate the representative of the djs, they run find on the branch of the inputs"
can we assume that we can determine the index for the letter in constant time?,crap idk what a union is,"Bc they need to locate the representative of the djs, they run find on the branch of the inputs",can we assume that we can find the alphabet positions in constant time?
can we assume that we can find the alphabet positions in constant time?,Union is just connecting two disjoint set trees together,oh,^
I know that lower load factors give faster runtimes but is there a function directly relating them?,"Like, what range of load factors would give O(1), O (log n) or O(n) times?",yeah I have no clue how the number 4500 comes up,"I just think ""the number should be bigger than 2900 but not too big"""
"Like, what range of load factors would give O(1), O (log n) or O(n) times?",yeah I have no clue how the number 4500 comes up,"I just think ""the number should be bigger than 2900 but not too big""","if you're doing union by height/rank path compression isn't a thing you can do, right?"
"if you're doing union by height/rank path compression isn't a thing you can do, right?",and I pick one,?,"Yeah, same here. Feels like a very arbitrary number rn"
?,"Yeah, same here. Feels like a very arbitrary number rn",I think the alphabet is an array so yes,like accessing an array is O(1)
would I have to manually check all of these answer choices?,it also mentions that there needs to be some efficient use of memory,so if we use 1000000 its not really efficient,so thats y its 4500
nlogn?,oh it's just logn,vasilis has discovered a log n sorting algorithm,isn't the avl tree logn?
isn't the avl tree logn?,oh,heapsort performance is nlogn but heapifydown is logn,yes
how does using path compression vs not using it change the answer to this?,path compression makes it so that every time you make a union it attaches the one set to the root,without path compression it just attaches it to the thing,or wait
is there a sheet that says everything I need to know for the midterm?,oh there is on the website,Does anyone know why specifically it's b for this question?,I get that e doesn't work because the dictionary maps from strings to whatever the study group identifier is
Does anyone know why specifically it's b for this question?,I get that e doesn't work because the dictionary maps from strings to whatever the study group identifier is,Is the reason we choose b because concatenating the students names would be the most unique option for the key of each group?,that is what I assume
Is the reason we choose b because concatenating the students names would be the most unique option for the key of each group?,that is what I assume,you need unique keys,I'm guessing purely concatenating the names might cause issues with accessing
what's a smart union?,its the 2 different types of unions,smart union by size and rank,oh they're all smart unions
"also are all heap operations (heaifydown, up, insert...) O(logn)? I know heapsort is nlogn",basically,buildheap is O(n) tho,^
isn't that only in certain cases?,i think u also use heapifydown forn buildheap or something,lie that,also for this question
if its not a perfect tree u would use heapifyUp?,no clue,I think in my lab_heap I just used insert cos I'm lazy,lemme check tho
ya i thought it was always heapifyDown?,the heap itself has no insert function,always heapifydown,wait
what are disk seeks?,Think about them as operations to load a chunk of something from disk to memory,why is linear chaining bad here,"So for the question you’re asking about, its how many times u need to load an array to memory"
Do u mean separate chaining?,nah separate chaining was the right answer,i meant linear probing,Well Linear probing does very poorly if data is really contiguous
separate chaining usually works better with big collections right? because it works with linked lists?,nah I think it uses vectors,might be wrong,Traditionally separate chaining uses linked lists.
why’s that?,@Khushi Jain make sure you are ignoring empty entries,Since it gives non-amortized constant for everything that matters.,Remember that the ith guess to hash k is $h_1(k)+ih_2(k)$
and then mod 9?,5 does not go to 2,we are supposed to add the hash functions?,Neither does it go to 7
we are supposed to add the hash functions?,Neither does it go to 7,5+ 2,That is the formula yes
so if h1 does not work out you do h1 + h2?,"Start i at 0, and if $h_1(k)+ih_2(k)$ is taken, increment $i$ for your ‘next’ guess",**Garrett Credi(ddxtanx)**,what do you mean start i at 0?
what do you mean start i at 0?,"Double hashing is almost exactly linear probing, just remember that we dont increment guesses by 1 for double hashing, we increment them by $h_2(k)$",**Garrett Credi(ddxtanx)**,so it goes from 1 to 3?
so it goes from 1 to 3?,because 1 has been filled?,"The first time you want to try and get a hash value from $h_1(k)+ih_2(k)$ we know what $k$ is (it’s what we want to hash) but we need to choose an initial $i$ value. If we choose $i$ to start at 0, our initial guess just ends up being $h_1(k)$",Exactly!
because 1 has been filled?,"The first time you want to try and get a hash value from $h_1(k)+ih_2(k)$ we know what $k$ is (it’s what we want to hash) but we need to choose an initial $i$ value. If we choose $i$ to start at 0, our initial guess just ends up being $h_1(k)$",Exactly!,**Garrett Credi(ddxtanx)**
so if 3 doesnt work you would go to 5?,would you mind explaining this to me on call? I am still unable to understand,i think i can explain,in words
would you mind explaining this to me on call? I am still unable to understand,i think i can explain,in words,basically if you do linear probing and say you have 7%6 but the index 1 has already been filled you would increment 1 and see if the next index is filled
why are we modding?,oh no im just giving an exampole,not for this questiomn,oh ok
"also, do you not try h1 at all, do you just try h1 + h2?",i mean we tried h1 and the index is filled,so we cant use it,so we then increment this index by the value of h2
so you try h1 -> h1 + h2 -> h1 + h2 + h2 -> h1 + h2..... until it works right?,ya,and in this case,yep that's why h2 has a minimum value of 1 if you look at secondary_hash in lab_hash
mod every time???,i mean technically ur modding every time right,cuz u do h1 + h2,how so?
how so?,so for the question,index 1,was filled
what if it goes past 9?,mod doesn't do anything unless the index output is greater than the size of the table so you usually mod every time in the code bc that's faster than doing a comparison (if statement),isnt that the size,but there isn't index 9 so we mod 9
Is prairielearn down?,not for me,there's a lot of practice tests today so maybe?,anyone good
there's a lot of practice tests today so maybe?,anyone good,at rotations,?
?,for avl trees,but not for me,I was good at rotations but I forgot
which one?,ill send an image,linear probing is the one where instead of having an h2 it just adds 1 every time,now that I'm looking at the website
so you would rotate on 11 first?,and then do a right rotation on 17>,?,I think
?,I think,crap I really don't remember,"Yeah i think u move 11 left, replace with 13, then rotate 17 right and replace with 13"
what would the placement be like?,This would require a complex rotation,You can only rotate a stick directly,So it’d be a RL rotation
is heapify up and down logn?,yep,Yes,yepo
"could someone explain how e is correct? after doing the path compression, i thought E would point to H. why is it still pointing to D??",Path compression only kicks in when you call find on the element,"only findmin or findmax is O(1), depending on if your heap is ordered so the max is the root or the min is the root",this
hey I can't find the page on disjoint sets on the cs225 course website?,I'll just keep looking I think I can find it on the lab page,go to the mp for mazes; it's linked there,for this rotation if i had 9 where would i rtoate on
if you rotate 17 does 13 move to the right of 11 still?,and if it does where does it go?,https://courses.engr.illinois.edu/cs225/fa2021/resources/disjoint-sets/,yeah I got it
and if it does where does it go?,https://courses.engr.illinois.edu/cs225/fa2021/resources/disjoint-sets/,yeah I got it,"It’d look like
.   11
7.    17"
For this one why does d point to g?,The other children stay the same place and moves with it’s parent,"https://courses.grainger.illinois.edu/cs225/fa2021/resources/avl-trees/ @kebabmastr101 also take a look at the simulator, it's animated","also for this question if i wanted to path compress e would i do union(E, any node) or would the union have to be with H"
"why isnt this heapify up? when you are building a tree, you will always be at the bottom of the tree and the bottom of the tree will always have no children",ya that type of rotation messes me up sometimes,HeapifyDown is the one that compares a node to its children,heapifyDown is more efficient as well with buildHeap
Could anyone explain this for me?,I read the notes on BFS and DFS and I'm still lost,this is only if we call find on that node though right?,BFS/DFS tells you nothing about how many edges there are between a node to two nodes
this is only if we call find on that node though right?,BFS/DFS tells you nothing about how many edges there are between a node to two nodes,or in this case union,do we ever work with unions by rank?
do we ever work with unions by rank?,"But since it’s undirected, and x is reachable from s and so is y",because doesn't path compression destroy the rank anyway?,x is reachable from y since you can go x to s to y
because doesn't path compression destroy the rank anyway?,x is reachable from y since you can go x to s to y,havnet got a question buit its pretty similar to size,u just compare heights
Why is the first case right?,so,Then since it’s a BFS if they’re next to each other in queue they’re either the same distance or one away from the source,"because as you add nodes, you are always going to be at the bottom most level"
it doesn't say they're next to each other in the queue right? just that they're both on the queue,"the algorithm by default calls find, in smart union",yeah,Well because it’s a BFS you wouldn’t add elements of the next level until the current level is over
so if there was another level of children would the seeks be 3?,but also they don't ask that on the tests as far as I remember,it's on the practice exam,so
is it if the root has no children it's a leaf and if it has children it's internal?,say if i wanted to add 45,to this,how would it be broken up?
how would it be broken up?,well first you'd try to put it next to 50 and notice that there isn't any space,so u wud push 50 up right or 45?,I believe 50 goes up because it's the middle one
so u wud push 50 up right or 45?,I believe 50 goes up because it's the middle one,ya and then 50 goes up again,cuz it doesnt fit
and how does union by size and height work?,the notes dont really explain it,tbh I don't remember exactly how btrees worked,does 60 and 45 break up like that
why is this d and not c?,rank = height,and union by rank you connect the one with lesser height to the one with more,there's union by rank and union by size
"and when you compare the number of nodes, do you include the root?",we've never used union by rank,yes,well idk for rank
wait yeah when i look at mikels question why does d not point to I?,as in the set you are comparing also would/would not compare the root,arent they unionizing D and I,so how come D doesn't compress to I
maybe report question?,here c and d are not part and then they union D to I so i joined them,but doesn't path compression make D go to I>,wait
does it also move c to i?,I forgor,ya,ok
which one?,mikel's,the disjoint sets of A to J,I just noticed I have a physics lecture rn
what does it look like before doing any unions?,I think they're all individual,assuming,which lecture does the professor talk about cross vs discovery vs back edges
do we need to know the algorithms in the minimum spanning tree page?,12th or 15th of nov i think?,thanks,"probably 15th, i think its mst stuff"
12th or 15th of nov i think?,thanks,"probably 15th, i think its mst stuff","could you walk through this problem if possible, path by compression trips me up"
Is there any way to determine this? Is it just because there's a large probability of landing where there is already a key?,For double hashing is the formula H2-H1?,@kebabmastr101 wait can i join in,this one confuses me
For double hashing is the formula H2-H1?,@kebabmastr101 wait can i join in,this one confuses me,"@cocampo3.14 most of the table is filled in, so u have a high likelyhood of landing to one of the filled spots, and if that happens u will have to move down to 8"
oh shoot on the exam will it ever ask us to heapifyup/down?,cos I forgot exactly how that works,I think you just need to know the runtime of heapify up and down,and it's not on the practice exam I think
"@kebabmastr101 if i have union(G,F) and then union(B,F), what happens?",I've been sitting in the altgeld commons for 3 hours now,sheeeeesh,well depends what the graph looks like @brownie
are those the first 2 disjoint sets ur unionizing?,"so if union(G,F) is the first method",F points to G,"and then if you do union (B,F) b points to G because: 1. the total size of B is smaller than the size of the set FG so b would join FG and 2. Fs parent is G and Bs parent is itself so you would connect the parents to each other"
would C just keep pointing to G?,cuz they are already in the same union,okay,ya
"and then after that, what if you did union(D,F)?",would D then point to I?,and when are you meant to do the path compression? before or after the union?,"yes so if there is path compression involved and you did union (D,F) after D would point to I"
would D then point to I?,and when are you meant to do the path compression? before or after the union?,"yes so if there is path compression involved and you did union (D,F) after D would point to I",Anybody know what the running time of dfs and bfs for graphs is? Im not sure if we need to know it for the test
and when are you meant to do the path compression? before or after the union?,"yes so if there is path compression involved and you did union (D,F) after D would point to I",Anybody know what the running time of dfs and bfs for graphs is? Im not sure if we need to know it for the test,after the path compression or after the union?
Anybody know what the running time of dfs and bfs for graphs is? Im not sure if we need to know it for the test,after the path compression or after the union?,You can never win in this class,"like im assuming you would find the node first, see that it should be compressed, so you do path compression,. and then do the union"
after the path compression or after the union?,You can never win in this class,"like im assuming you would find the node first, see that it should be compressed, so you do path compression,. and then do the union",i mean in  that case @brownie D and F are already in the same union so you would just run the path compression
why is 2 not valid?,why isnt this all 7's for e. I thought there is path compression,@zhen leaves have to be the same level,all the leaf nodes arent the same height
anyone know why ei is the correct answer? shouldn't the 3 be a 7 due to path compression?,@Khushi Jain,this is what my set looks like at the end of all the unions,same
How are we meant to answer this?,this is why i think compression happens first,i thought load factor was number of elems / size of hash table?,was there any compression?
i thought load factor was number of elems / size of hash table?,was there any compression?,but i thought in path compression children also point to the ew root,*new
was there any compression?,but i thought in path compression children also point to the ew root,*new,why isn't this a valid b tree of order 4?
why isn't this a valid b tree of order 4?,so i think path compression runs BEFORE the actual union happens,"Someone asked about this earlier, but where did we learn this",root has 4 keys; it should have at most 3
Is the tree that tvjfk posted height 1 or 0?,lmao they wont have this problem again,so in this case it would connect D to H but E wont point to the root,Had a brain fart lol
when discussing graphs we assume that we are *not* using fibonacci heaps?,right?,"if union(C,H) are tied, then C wins","meaning C becomes the parent, and H joins it"
right?,"if union(C,H) are tied, then C wins","meaning C becomes the parent, and H joins it",Then why in the final anwser does I become the parent of C
also without fibonacci heaps prim's and kruskal's have the same running time?,and the amount of discovery edges is always n - 1,mlogm,so u subtract 5n+ 2 - (n-1)
also are there any pages on graphs other than the MST page?,wording,yeah its dumb wording,in what kind of graphs?
in what kind of graphs?,Because in order 4 you cannot have any nodes with more than order-1 elements,Correct me if i'm wrong ^,we only talk abotuj discovery edges for BFS and DFS so
ok what happens when we arent using path compression again?,what graphs were those used on?,something with a t right?,i know theyre
what graphs were those used on?,something with a t right?,i know theyre,we just dont move it to the root we juust keep it as it is
something with a t right?,i know theyre,we just dont move it to the root we juust keep it as it is,if we are unionizing 2 letters that are already in the same union
why is this wrong i thought BFS the first node connects to ALL the verticies in connects to?,oh,wait,its dfs
So if it says it should be ordered by rank I shouldnt path compress even if i says i should?,how does A become a child of G but C remains a child of F?,"no you should, but it changes the rank, I haven't seen a question asking to order by rank anyway",if someone has though you should interject here lmao
how does A become a child of G but C remains a child of F?,"no you should, but it changes the rank, I haven't seen a question asking to order by rank anyway",if someone has though you should interject here lmao,i can explain
So for path compression what ive noticed is that if you directly try to union a child node itll point directly to the other nodes parent?,is that the only difference? I feel like I cant really tell the difference still 😦,this will connect F to G because the parent of D is G and the parent of the F connected component is F. Since the F component has less nodes than the G component we connect F to G,A connects to G because now F's parent node is G and A's parent node is itself so we connect A to G
is that the only difference? I feel like I cant really tell the difference still 😦,this will connect F to G because the parent of D is G and the parent of the F connected component is F. Since the F component has less nodes than the G component we connect F to G,A connects to G because now F's parent node is G and A's parent node is itself so we connect A to G,"@zhen hopefully this ,ales semse but i can go through a step by step process on call if that willh elp"
"this is right, but what about C?",yea but why will C remain a child of F if F poionts to G,do we need to know the maximal number of edges?,for any given graph
do we need to know the maximal number of edges?,for any given graph,"like looking at union(C,A)",we dont do anything @brownie cuz there is no path compression and C and A are already in the same union 🙂
"and then for union(I, D) nothing happens?",yup,"same for union(C, A)?",they are on the same level so even if there was path compression it would do nothing
"same for union(C, A)?",they are on the same level so even if there was path compression it would do nothing,"ya C,A is the only one where path compression matters","because by union (C,A) we hav connected all the letters so they are all in the same union before the call for union (C,A)"
"what happens when there is path compression for union(C, A)?",so there is nothing to union,this makes way more sense than what I was doing,ty
would C point to G?,if there is path compression C would point to G,yup,because its overall parent is G thats wut path compression basically does
Anyone got the answer for this?,nice. ty for the help,4n +3,i can explaion the math as wll
how do we calculate the cross edges for BFS?,same way,?,yup
?,yup,irf they give you the total number of edges,it applies to all
(this is the wrong answer) is the amount of edges 6n in this case?,oh ya so this one is different,or no it's 3n,so this one the total number of edges of a connected undirected graph is 6n / 2
@kebabmastr101 Where are these formulas?,17 would be added instead of 18 because 17 is smaller than 18 and those are the only two edges,to that node,the edges 6n/2 someone helped me with that so not sure
also when you path compress do we detect if something doesnt directly go to the root when we call union?,Anyone know why thisi s wrong?,Isnt DFS the shortest # of edges,Whst was the answer
Anyone know why thisi s wrong?,Isnt DFS the shortest # of edges,Whst was the answer,@ayuellemao
What was right?,D,its none,DFS isn't a shortest path algo
Is that BFS?,yupo,I thought they do the same thing,my b
does union call find?,why is this not valid for order 4,ye,@Hanforallckskyslikcaprifest
can someone expalin why only b is false?,I see no difference when path compression is vs not,all leaves need to be on the same level,gotcha
what's the rationale for this problem?,but if we do path compress g finds d d is not directly connected to root so d will connect to root,is a right or c is right?,a is right
is a right or c is right?,a is right,me i remember it as to get O1 speed out capacity should have at least 1.3 times how many we have,and 45000 is closest to 39000
does anyone know what a back edge is?,i may b approaching wrong,can u explain y this is?,an edge that goes to a node u already visited
can u explain y this is?,an edge that goes to a node u already visited,Why are both of these not valid?,if ur doing a DFS graph traversal and the edge is between two vertices you've already seen
Why are both of these not valid?,if ur doing a DFS graph traversal and the edge is between two vertices you've already seen,that part is my question too how does having extra space cause it to be O1,Probably because the message can’t be fixed me through
fixed me through?,ye thats what im confused about as well,Thanks,maybe less likely for collisions at that ratio?
maybe less likely for collisions at that ratio?,Seems like the porbaility of both is 50%,Is 1.3 times an actual number we should follow?,why did they pick 7
Is 1.3 times an actual number we should follow?,why did they pick 7,More values closer to 7,That 3 seems like an unreachable hash value
could someone help me understand prim's?,Ik how to do it generally idk conceptually too much,maybe its another number I just remember overhearing 1.3,Take all min edges starting a vertex and traverse the tree
what is a maxheap?,could someone help me traverse this,how do you calculate that?,wdym
how do you calculate that?,wdym,u just go through the dfs steps,what would u calculate?
what would u calculate?,"like if you have n vertices and 5n + 2 edges, how many back edges",oh i see,i dont remember the equation for that
anybody know what a max heap is?,b,Max heap is something where the root is the largest element,and each subsequent root is smaller
what are disk seeks? i got a practice problem for btrees where it asks u to find the number of disk seeks needed to find a number in the btree,1+num of edges it take to get to ur value,for disk seeks?,Oof
for disk seeks?,Oof,"I got 2 questions wrong, both were asking for running times",I can't memorize those lmao
anybody know why the disjoint set is not the fastest option for a?,bc i was stuck between a and b,"They both can use disjoint sets, I have no clue why b over a, I guess some graph algo can work better for a",huh
to recap is prim's algorithm the greedy one and kruskal's algorithm the more general one?,Could someone explain how to do this one,how do you do this?,i think u dont include the most expensive edge that doesn't connect to a new node
how do you do this?,i think u dont include the most expensive edge that doesn't connect to a new node,i guess the easiest way would be to write out the weights of all the edges u need to make an mst,and compare to the answers
how do we do this problem?,Why are these diff,what does give the tightest bound mean,Ones an adjacency list and the other is a adjacency matrix two different ways of storing a graph and so different runtimes
"does anyone know why for one they are having the children point to the root, but in the other they aren't?",B-Trees height I think equals disk seeks so if you are accessing a key with a height of 3 from root it will be 3 disk seeks,when they are both path compression,what are disk seeks?
what are disk seeks?,For B trees when accessing a key. Since a HDD works by reading data on a disk it has to do a disk seek each level of the B-Tree,its H + 1 but idk why,Root is zero
could someone help me understand this?,what does the order column mean in the table,?,anybody have a list of all the runtimes and maybe equations to cram last sec
